Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
Milwaukee Bucks,26.9,60,22,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,.255,.419,.583,.550,12.0,20.8,.197,.503,11.5,80.3,.162,Fiserv Forum,721692,17602
Golden State Warriors,28.4,57,25,56,26,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,.227,.384,.596,.565,12.6,22.5,.182,.508,11.7,77.1,.205,Oracle Arena,803436,19596
Toronto Raptors,27.3,58,24,56,26,6.09,-0.60,5.49,113.1,107.1,6.0,100.2,.247,.379,.579,.543,12.4,21.9,.198,.509,13.1,77.1,.190,Scotiabank Arena,812822,19825
Utah Jazz,27.3,50,32,54,28,5.26,0.03,5.28,110.9,105.7,5.2,100.3,.295,.394,.572,.538,13.4,22.9,.217,.507,12.4,80.3,.189,Vivint Smart Home Arena,750546,18306
Houston Rockets,29.2,53,29,53,29,4.77,0.19,4.96,115.5,110.7,4.8,97.9,.279,.519,.581,.542,12.0,22.8,.221,.525,13.4,74.4,.210,Toyota Center,740392,18058
Portland Trail Blazers,26.2,53,29,51,31,4.20,0.24,4.43,114.7,110.5,4.2,99.1,.258,.339,.568,.528,12.1,26.6,.210,.516,11.0,77.9,.195,Moda Center,799345,19496
Denver Nuggets,24.9,54,28,51,31,3.95,0.24,4.19,113.0,108.9,4.1,97.7,.232,.348,.558,.527,11.9,26.6,.175,.521,12.3,78.0,.194,Pepsi Center,756457,18450
Boston Celtics,25.7,49,33,52,30,4.44,-0.54,3.90,112.2,107.8,4.4,99.6,.215,.381,.567,.534,11.5,21.6,.173,.514,13.4,77.0,.198,TD Garden,763584,18624
Oklahoma City Thunder,25.7,49,33,50,32,3.40,0.15,3.56,110.3,107.0,3.3,102.8,.266,.347,.545,.514,11.7,26.0,.190,.523,14.4,78.2,.206,Chesapeake Energy Arena,746323,18203
Indiana Pacers,27.0,48,34,50,32,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,.242,.292,.561,.530,12.4,21.9,.182,.516,14.1,76.2,.184,Bankers Life Fieldhouse,689310,16812
Philadelphia 76ers,26.4,51,31,48,34,2.70,-0.44,2.25,112.6,110.0,2.6,101.6,.312,.342,.574,.532,12.9,24.5,.241,.512,11.1,78.6,.206,Wells Fargo Center,838342,20447
San Antonio Spurs,28.8,48,34,45,37,1.68,0.12,1.80,112.9,111.2,1.7,98.3,.237,.286,.572,.534,11.0,21.0,.194,.528,11.0,79.4,.170,AT&T Center,750616,18308
Los Angeles Clippers,27.2,48,34,43,39,0.85,0.23,1.09,112.4,111.5,0.9,101.7,.326,.295,.575,.529,12.7,22.0,.258,.514,11.4,76.0,.224,STAPLES Center,710327,17325
Orlando Magic,25.7,42,40,43,39,0.71,-0.43,0.28,108.9,108.1,0.8,98.1,.216,.360,.550,.518,11.9,22.0,.168,.515,11.8,79.7,.186,Amway Center,720024,17431
Brooklyn Nets,25.4,42,40,41,41,-0.07,-0.33,-0.40,109.6,109.7,-0.1,100.8,.284,.403,.556,.520,13.0,23.8,.211,.512,11.6,76.4,.190,Barclays Center,612597,14941
Miami Heat,27.0,39,43,40,42,-0.23,-0.22,-0.45,107.3,107.6,-0.3,98.2,.247,.368,.542,.515,13.1,24.8,.172,.510,12.7,77.6,.201,AmericanAirlines Arena,805264,19641
Detroit Pistons,26.9,41,41,40,42,-0.24,-0.31,-0.56,109.0,109.2,-0.2,97.4,.262,.394,.544,.509,12.3,24.8,.195,.526,12.8,78.7,.211,Little Caesars Arena,675963,16487
Sacramento Kings,24.8,39,43,38,44,-1.12,0.31,-0.81,110.4,111.5,-1.1,103.1,.244,.321,.554,.524,11.5,23.1,.177,.533,13.6,75.5,.207,Golden 1 Center,700975,17097
Dallas Mavericks,26.9,33,49,38,44,-1.28,0.42,-0.87,109.4,110.7,-1.3,99.0,.291,.422,.555,.519,12.7,22.7,.216,.522,11.6,77.5,.191,American Airlines Center,820569,20014
Minnesota Timberwolves,26.2,36,46,37,45,-1.50,0.48,-1.02,111.4,112.9,-1.5,100.2,.267,.315,.552,.511,11.4,24.6,.210,.538,12.9,74.9,.190,Target Center,627543,15306
New Orleans Pelicans,25.7,33,49,38,44,-1.33,0.23,-1.10,111.4,112.6,-1.2,103.3,.254,.324,.563,.529,12.6,24.1,.193,.532,11.6,76.8,.193,Smoothie King Center,656183,16004
Charlotte Hornets,26.6,39,43,38,44,-1.10,-0.22,-1.32,111.4,112.5,-1.1,98.7,.257,.378,.554,.514,10.9,21.7,.205,.538,12.1,77.1,.179,Spectrum Center,676570,16502
Los Angeles Lakers,26.2,37,45,37,45,-1.72,0.39,-1.33,107.8,109.5,-1.7,103.2,.257,.342,.554,.527,13.4,22.2,.180,.516,12.2,76.4,.192,STAPLES Center,778877,18997
Memphis Grizzlies,27.7,33,49,34,48,-2.60,0.51,-2.08,106.1,108.8,-2.7,96.6,.272,.342,.548,.508,12.9,20.0,.210,.521,13.9,77.6,.232,FedEx Forum,638332,15569
Washington Wizards,26.5,32,50,34,48,-2.90,-0.40,-3.30,111.1,113.9,-2.8,101.4,.266,.370,.567,.531,12.3,21.3,.204,.546,13.5,74.1,.199,Capital One Arena,716996,17448
