Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
Cleveland Cavaliers,26.6,66,16,65,17,8.93,-0.25,8.68,112.4,102.4,10.0,88.7,.312,.259,.560,.519,12.5,27.7,.236,.468,13.5,74.6,.226,Quicken Loans Arena,841000,20512
Boston Celtics,27.8,62,20,61,21,7.51,-0.07,7.44,110.5,102.3,8.2,90.4,.328,.214,.571,.528,15.0,27.9,.251,.470,14.0,75.6,.253,TD Banknorth Garden,763584,18624
Los Angeles Lakers,27.4,65,17,61,21,7.66,-0.55,7.11,112.8,104.7,8.1,94.3,.299,.217,.555,.513,12.3,29.4,.230,.490,14.2,73.0,.213,STAPLES Center,778877,18997
Orlando Magic,27.3,59,23,59,23,6.70,-0.21,6.48,109.2,101.9,7.3,92.3,.351,.335,.559,.520,13.4,24.0,.251,.465,12.3,75.9,.209,Amway Arena,698768,17043
Portland Trail Blazers,24.0,54,28,56,26,5.34,-0.35,5.00,113.9,107.8,6.1,86.6,.306,.239,.553,.511,12.5,32.6,.234,.499,13.2,75.0,.227,Rose Garden Arena,841499,20524
Houston Rockets,27.9,53,29,53,29,4.00,-0.27,3.73,108.4,104.0,4.4,90.2,.292,.254,.548,.501,13.6,26.4,.235,.479,11.9,75.3,.192,Toyota Center,717669,17504
San Antonio Spurs,30.4,54,28,52,30,3.76,-0.40,3.36,108.5,104.3,4.2,88.4,.251,.248,.548,.513,11.7,22.1,.191,.487,11.7,78.0,.191,AT&T Center,749048,18269
Denver Nuggets,27.7,54,28,50,32,3.41,-0.29,3.13,110.4,106.8,3.6,94.3,.382,.227,.563,.512,14.2,27.5,.290,.485,14.1,71.7,.259,Pepsi Center,706165,17224
Utah Jazz,25.5,48,34,48,34,2.65,-0.34,2.31,110.1,107.3,2.8,93.1,.355,.169,.554,.504,13.6,28.2,.274,.505,15.0,72.7,.262,EnergySolutions Arena,816042,19903
Atlanta Hawks,25.8,47,35,46,36,1.57,0.13,1.70,109.3,107.6,1.7,89.6,.323,.253,.546,.504,12.5,26.0,.238,.494,13.2,71.6,.210,Philips Arena,686688,16748
Dallas Mavericks,29.0,50,32,47,35,1.98,-0.30,1.68,110.5,108.4,2.1,91.5,.274,.241,.550,.504,12.1,26.6,.224,.493,12.3,74.6,.225,American Airlines Center,821723,20042
Phoenix Suns,29.5,46,36,46,36,1.93,-0.31,1.62,113.6,111.6,2.0,96.0,.336,.216,.584,.545,14.4,27.7,.250,.511,12.8,71.7,.233,US Airways Center,755302,18422
New Orleans Hornets,28.2,49,33,46,36,1.55,-0.14,1.41,108.7,107.0,1.7,87.8,.288,.240,.548,.501,12.5,24.6,.232,.496,13.2,74.9,.230,New Orleans Arena,695727,16969
Miami Heat,25.6,43,39,42,40,0.26,0.23,0.49,107.8,107.6,0.2,89.9,.282,.245,.540,.500,12.1,24.6,.212,.501,14.5,72.9,.251,AmericanAirlines Arena,748778,18263
Philadelphia 76ers,26.1,41,41,41,41,0.07,0.09,0.16,107.9,107.8,0.1,90.0,.339,.164,.532,.485,13.4,31.3,.253,.507,14.9,71.4,.216,Wachovia Center,647898,15802
Chicago Bulls,24.9,41,41,40,42,-0.28,0.12,-0.16,108.4,108.7,-0.3,93.1,.300,.189,.541,.493,13.3,28.0,.239,.493,13.1,70.9,.238,United Center,868667,21187
Detroit Pistons,28.2,39,43,40,42,-0.49,0.13,-0.36,107.4,108.0,-0.6,86.7,.282,.165,.524,.483,11.7,27.9,.212,.485,11.7,74.0,.248,The Palace of Auburn Hills,896971,21877
Indiana Pacers,26.5,36,46,38,44,-1.11,0.35,-0.76,108.1,109.2,-1.1,96.5,.267,.244,.545,.501,13.1,25.4,.215,.499,12.7,74.5,.271,Conseco Fieldhouse,581472,14182
Milwaukee Bucks,26.3,34,48,38,44,-1.09,0.21,-0.88,106.7,107.9,-1.2,92.6,.306,.208,.531,.483,13.1,27.8,.239,.503,15.6,74.0,.315,Bradley Center,630976,15390
Charlotte Bobcats,25.8,35,47,37,45,-1.27,0.07,-1.20,104.7,106.1,-1.4,88.3,.312,.213,.536,.494,15.1,27.7,.231,.498,14.4,73.0,.229,Time Warner Cable Arena,597548,14574
New Jersey Nets,25.7,34,48,34,48,-2.44,0.13,-2.31,108.3,111.0,-2.7,89.9,.303,.265,.543,.497,12.7,25.2,.236,.509,13.0,73.5,.272,Izod Center,621062,15148
