Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Alex Acker,23,2,30,234,34,92,8,25,5,10,9,29,16,6,4,11,13,81,.370,.320,.500,7.8,2.7,1.0,0.5
Alan Anderson,23,8,330,6793,843,2084,331,963,404,495,151,714,371,182,31,290,602,2421,.405,.344,.816,20.6,7.3,2.2,1.1
Martynas Andriuskevicius,19,1,6,9,0,1,0,0,0,0,1,4,0,2,0,0,1,0,.000,,,1.5,0.0,0.7,0.0
Earl Barron,24,8,140,1985,255,687,3,18,127,181,188,492,63,46,30,107,270,640,.371,.167,.702,14.2,4.6,3.5,0.5
Eddie Basden,22,1,19,141,15,37,1,7,8,10,7,28,8,9,2,9,17,39,.405,.143,.800,7.4,2.1,1.5,0.4
Brandon Bass,20,12,758,16410,2558,5125,12,58,1447,1740,1139,3448,608,295,479,718,1375,6575,.499,.207,.832,21.6,8.7,4.5,0.8
Esteban Batista,22,2,70,576,42,96,0,1,37,60,68,174,11,18,11,42,124,121,.438,.000,.617,8.2,1.7,2.5,0.2
Andray Blatche,19,9,564,12462,2327,4981,52,219,1000,1380,1043,3024,798,492,458,914,1382,5706,.467,.237,.725,22.1,10.1,5.4,1.4
Andrew Bogut,21,13,694,19728,2968,5549,3,25,830,1492,1742,6057,1535,439,1083,1196,2164,6769,.535,.120,.556,28.4,9.8,8.7,2.2
Kevin Burleson,26,1,39,340,22,88,10,54,16,17,4,26,48,26,2,25,63,70,.250,.185,.941,8.7,1.8,0.7,1.2
Andrew Bynum,18,8,418,10690,1917,3446,1,9,987,1431,1007,3221,490,133,657,644,1028,4822,.556,.111,.690,25.6,11.5,7.7,1.2
Will Bynum,23,8,360,6611,1117,2529,84,309,603,755,125,561,1185,256,29,578,670,2921,.442,.272,.799,18.4,8.1,1.6,3.3
Jose Calderon,24,13,846,23011,2993,6320,906,2203,916,1049,292,2088,5033,700,68,1304,1412,7808,.474,.411,.873,27.2,9.2,2.5,5.9
Travis Diener,23,5,179,2660,298,768,164,465,94,111,39,243,432,76,9,99,200,854,.388,.353,.847,14.9,4.8,1.4,2.4
Ike Diogu,22,6,225,2795,488,958,1,2,371,472,275,689,69,36,65,200,425,1348,.509,.500,.786,12.4,6.0,3.1,0.3
Monta Ellis,20,12,833,29011,5723,12688,737,2349,2675,3463,520,2874,3856,1409,281,2246,1950,14858,.451,.314,.772,34.8,17.8,3.5,4.6
Daniel Ewing,22,2,127,1683,162,416,36,122,71,91,32,158,174,69,10,107,148,431,.389,.295,.780,13.3,3.4,1.2,1.4
Noel Felix,24,1,12,82,6,25,1,3,5,8,3,13,2,2,3,8,13,18,.240,.333,.625,6.8,1.5,1.1,0.2
Raymond Felton,21,13,938,28450,4050,9824,905,2752,1706,2162,548,2833,5044,1134,201,1994,1841,10711,.412,.329,.789,30.3,11.4,3.0,5.4
Gerald Fitch,23,1,18,239,30,89,7,26,17,23,7,30,33,7,5,15,28,84,.337,.269,.739,13.3,4.7,1.7,1.8
Sharrod Ford,24,1,3,13,2,3,0,0,0,0,1,3,0,0,1,2,7,4,.667,,,4.3,1.3,1.0,0.0
Channing Frye,22,12,854,19431,2888,6538,1017,2627,864,1050,763,3950,844,451,535,774,2211,7657,.442,.387,.823,22.8,9.0,4.6,1.0
Deng Gai,23,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.5,0.0,0.0,0.0
Francisco Garcia,24,10,549,11853,1564,3659,581,1627,614,768,278,1400,747,441,388,545,1229,4323,.427,.357,.799,21.6,7.9,2.6,1.4
Ryan Gomes,23,8,487,13463,1891,4249,334,956,810,1014,617,2239,712,351,78,550,942,4926,.445,.349,.799,27.6,10.1,4.6,1.5
Joey Graham,23,6,377,6117,857,1776,54,180,471,578,272,1058,207,134,43,309,804,2239,.483,.300,.815,16.2,5.9,2.8,0.5
Stephen Graham,23,6,239,2915,378,848,53,172,157,205,77,424,117,57,19,155,352,966,.446,.308,.766,12.2,4.0,1.8,0.5
Danny Granger,22,10,586,18487,3332,7672,1006,2644,2185,2577,674,2888,1097,561,481,1098,1628,9855,.434,.380,.848,31.5,16.8,4.9,1.9
Devin Green,23,1,27,135,6,28,0,2,13,21,10,24,7,3,0,5,13,25,.214,.000,.619,5.0,0.9,0.9,0.3
Gerald Green,20,11,585,11553,2081,4968,806,2227,769,942,288,1457,556,302,172,666,1102,5737,.419,.362,.816,19.7,9.8,2.5,1.0
Orien Greene,23,4,131,1555,127,328,11,52,61,95,49,195,155,98,15,144,228,326,.387,.212,.642,11.9,2.5,1.5,1.2
Anthony Grundy,26,1,12,108,19,38,5,15,9,14,1,17,9,7,0,9,14,52,.500,.333,.643,9.0,4.3,1.4,0.8
Chuck Hayes,22,11,644,11815,1047,2104,0,14,316,510,1119,3243,781,478,237,461,1485,2410,.498,.000,.620,18.3,3.7,5.0,1.2
Luther Head,23,6,348,7797,1025,2426,451,1162,341,441,110,845,747,254,43,437,510,2842,.423,.388,.773,22.4,8.2,2.4,2.1
Julius Hodge,22,2,23,98,11,25,0,0,6,12,7,15,18,6,0,11,13,28,.440,,.500,4.3,1.2,0.7,0.8
Randy Holcomb,26,1,4,11,1,1,0,0,0,0,1,1,0,0,0,0,2,2,1.000,,,2.8,0.5,0.3,0.0
Jarrett Jack,22,13,867,24140,3374,7673,620,1809,1981,2316,277,2487,3952,683,107,1723,1583,9349,.440,.343,.855,27.8,10.8,2.9,4.6
Sarunas Jasikevicius,29,2,138,2530,298,751,130,366,207,228,34,222,399,66,5,206,183,933,.397,.355,.908,18.3,6.8,1.6,2.9
Amir Johnson,18,13,819,17794,2479,4333,95,282,848,1266,1676,4545,1013,508,826,887,2480,5901,.572,.337,.670,21.7,7.2,5.5,1.2
Dwayne Jones,22,5,82,636,33,65,0,1,41,83,86,191,12,11,29,26,112,107,.508,.000,.494,7.8,1.3,2.3,0.1
Linas Kleiza,21,7,409,8185,1268,2912,387,1154,638,836,388,1470,321,159,73,409,886,3561,.435,.335,.763,20.0,8.7,3.6,0.8
Yaroslav Korolev,18,2,34,168,13,46,3,12,10,16,6,16,13,6,0,7,11,39,.283,.250,.625,4.9,1.1,0.5,0.4
David Lee,22,12,829,24293,4587,8566,1,29,2057,2666,2150,7320,1825,625,329,1454,2170,11232,.535,.034,.772,29.3,13.5,8.8,2.2
John Lucas III,23,8,242,2927,454,1185,163,474,76,99,57,237,362,88,2,128,195,1147,.383,.344,.768,12.1,4.7,1.0,1.5
Arvydas Macijauskas,26,1,19,135,14,41,3,12,13,15,3,10,5,7,0,8,10,44,.341,.250,.867,7.1,2.3,0.5,0.3
Rawle Marshall,23,2,63,602,56,149,5,21,53,74,16,60,23,20,12,34,39,170,.376,.238,.716,9.6,2.7,1.0,0.4
Jason Maxiell,22,10,618,11379,1398,2823,0,5,685,1214,1048,2576,266,230,490,487,1197,3481,.495,.000,.564,18.4,5.6,4.2,0.4
Sean May,21,4,119,1868,324,708,3,13,170,228,155,481,115,53,47,134,236,821,.458,.231,.746,15.7,6.9,4.0,1.0
Rashad McCants,21,4,249,5037,923,2144,292,793,341,460,114,506,331,183,61,362,584,2479,.431,.368,.741,20.2,10.0,2.0,1.3
Aaron Miles,22,1,19,118,6,18,0,0,4,4,0,14,24,4,1,11,13,16,.333,,1.000,6.2,0.8,0.7,1.3
C.J. Miles,18,13,785,16265,2752,6646,1172,3249,1029,1272,346,1904,866,565,235,690,1698,7705,.414,.361,.809,20.7,9.8,2.4,1.1
Sergei Monia,22,1,26,343,29,87,9,34,10,14,11,52,19,7,5,12,41,77,.333,.265,.714,13.2,3.0,2.0,0.7
Boniface N'Dong,28,1,23,152,22,53,0,1,6,9,15,37,7,2,5,6,23,50,.415,.000,.667,6.6,2.2,1.6,0.3
Fabricio Oberto,30,6,336,4871,481,835,0,4,119,193,443,1175,300,89,75,225,733,1081,.576,.000,.617,14.5,3.2,3.5,0.9
Andre Owens,25,2,54,602,67,181,21,56,37,52,24,68,55,18,3,37,62,192,.370,.375,.712,11.1,3.6,1.3,1.0
Chris Paul,20,13,892,31493,5860,12412,1141,3071,3830,4410,605,3997,8708,2008,104,2152,2196,16691,.472,.372,.868,35.3,18.7,4.5,9.8
Johan Petro,20,8,473,7262,976,2114,2,13,248,366,536,1836,227,193,234,374,1158,2202,.462,.154,.678,15.4,4.7,3.9,0.5
Josh Powell,23,7,316,3966,498,1136,7,20,223,300,331,932,161,49,68,254,491,1226,.438,.350,.743,12.6,3.9,2.9,0.5
Ronnie Price,22,12,544,7293,738,1980,244,808,295,400,176,658,960,424,56,476,922,2015,.373,.302,.738,13.4,3.7,1.2,1.8
